Rajeev Rajiv
Rajeshwari Rajeswari
Rajeshwari Rajeshwaree
Danish Daneesh
Danish Daanish
Prakash Prakas
Disha Deesha
Disha Diksha
Chintu Cheentu
Chintu Chinttu
Gazal Gajal
Gazal Gazaal
Tilak Teelak
Singh Sing
Singh Seengh
Sanju Sanjoo
Goswami Gauswami
Goswami Goswamee
Asharani Aasharani
Asharani Ashranee
Asharani Asharaani
Lavish Laveesh
Lavish Lauvish
Kishor Keeshor
Kishor Kisor
Komal Kaumal
Tanvi Tanvee
Kshitij Kshitiz
Suyash Sooyash
Harshil Harsheel
Gulab Goolab
Gulab Gulaab
Imran Imraan
Jafruddin Jafrudin
Jafruddin Jafrooddin
Jafruddin Jafrudeen
Pranith Praneeth
Pranith Pranit
Kaustubh Kaushtubh
Kaustubh Kaustuv
Kaustubh Kaustav
Vaibhav Vaivab
Vaibhav Vaibhab
Nikhil Neekhil
Nikhil Nikheel
Tanuj Tanooj
Khushboo Khushbu
Khushboo Kusbu
Shubh Shoobh
Shubh Subh
Saurabh Shaurabh
Saurabh Sorabh
Saurabh Sourab
Saurabh Sourav
Neel Neil
Neel Nil
Bansee Bansi
Modi Modee
Modi Moudi
Modi Mody
Himmat Himat
Himmat Heemmat
Shaurya Sourya
Shaurya Saurya
Vanraj Vanraaj
Sreevatsa Srivatsa
Sreevatsa Shrivatsa
Sreevatsa Shreevatsa
Bharat Barath
Bharat Barat
Ravi Ravee
Raghu Ragu
Raghu Raghoo
Surendra Surender
Surendra Soorendra
Dipesh Deepesh
Sunit Suneet
Sunita Suneeta
Dipraj Deepraj
Dipti Deepti
Vinit Vineet
Srikanth Sreekanth
Srikanth Shrikant
Srinivas Sreenivas
Jivan Jeevan
Sudheer Sudhir
